method,function,dims,run_id,seed,max_fes,fes_used,best_fit,f_global,error,wall_time_s
WOA,F12022,2,0,12616,200,200,308.32212954428235,300.0,8.322129544282348,0.0029997825622558594
WOAPlus[init],F12022,2,0,13066,200,200,324.1718662401606,300.0,24.171866240160625,0.0019998550415039062
WOAPlus[init_qr],F12022,2,0,13160,200,200,302.50589448532884,300.0,2.505894485328838,0.0020008087158203125
WOAPlus[init_qr_crossover],F12022,2,0,12384,200,200,357.55901836171756,300.0,57.55901836171756,0.0019998550415039062
WOAPlus[init_qr_crossover_restart],F12022,2,0,12730,200,200,1114.8997295029299,300.0,814.8997295029299,0.0020020008087158203
WOAPlus[init_qr_crossover_restart_perturb],F12022,2,0,12451,200,200,305.88270686829827,300.0,5.882706868298271,0.0020411014556884766
WOAPlus[init_qr_crossover_restart_perturb_chaos],F12022,2,0,12548,200,200,469.5887941410259,300.0,169.58879414102591,0.0019996166229248047
WOAPlus[init_qr_crossover_restart_perturb_chaos_nm],F12022,2,0,12601,200,200,311.0333793686794,300.0,11.033379368679391,0.0020003318786621094
WOAPlus[all],F12022,2,0,12614,200,200,565.0567866138797,300.0,265.0567866138797,0.0025115013122558594
IWOA_Strict[full],F12022,2,0,13103,200,200,330.3227417036477,300.0,30.322741703647694,0.0029964447021484375
