method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error
IWOA_Strict[full],F12022,2,200,1,30.322741703647694,,30.322741703647694,0.0,30.322741703647694,30.322741703647694
WOA,F12022,2,200,1,8.322129544282348,,8.322129544282348,0.0,8.322129544282348,8.322129544282348
WOAPlus[all],F12022,2,200,1,265.0567866138797,,265.0567866138797,0.0,265.0567866138797,265.0567866138797
WOAPlus[init],F12022,2,200,1,24.171866240160625,,24.171866240160625,0.0,24.171866240160625,24.171866240160625
WOAPlus[init_qr],F12022,2,200,1,2.505894485328838,,2.505894485328838,0.0,2.505894485328838,2.505894485328838
WOAPlus[init_qr_crossover],F12022,2,200,1,57.55901836171756,,57.55901836171756,0.0,57.55901836171756,57.55901836171756
WOAPlus[init_qr_crossover_restart],F12022,2,200,1,814.8997295029299,,814.8997295029299,0.0,814.8997295029299,814.8997295029299
WOAPlus[init_qr_crossover_restart_perturb],F12022,2,200,1,5.882706868298271,,5.882706868298271,0.0,5.882706868298271,5.882706868298271
WOAPlus[init_qr_crossover_restart_perturb_chaos],F12022,2,200,1,169.58879414102591,,169.58879414102591,0.0,169.58879414102591,169.58879414102591
WOAPlus[init_qr_crossover_restart_perturb_chaos_nm],F12022,2,200,1,11.033379368679391,,11.033379368679391,0.0,11.033379368679391,11.033379368679391
