method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error,mean_error_baseline,delta,ratio,log10_ratio
IWOA_Strict[full],F12022,2,200,1,30.322741703647694,,30.322741703647694,0.0,30.322741703647694,30.322741703647694,30.322741703647694,0.0,1.0,0.0
IWOA_Strict[no_chaos],F12022,2,200,1,26.375667125388247,,26.375667125388247,0.0,26.375667125388247,26.375667125388247,30.322741703647694,-3.9470745782594463,0.8698312106195651,-0.060565013368000485
IWOA_Strict[no_crossover],F12022,2,200,1,219.00255647063815,,219.00255647063815,0.0,219.00255647063815,219.00255647063815,30.322741703647694,188.67981476699046,7.222386372941108,0.858680717980014
IWOA_Strict[no_init],F12022,2,200,1,310.5418614838944,,310.5418614838944,0.0,310.5418614838944,310.5418614838944,30.322741703647694,280.21911978024673,10.241219759047633,1.0103516854558197
IWOA_Strict[no_levy],F12022,2,200,1,211.9412195909963,,211.9412195909963,0.0,211.9412195909963,211.9412195909963,30.322741703647694,181.6184778873486,6.989513734026916,0.8444469625876345
IWOA_Strict[no_lpsr],F12022,2,200,1,11.613627252492392,,11.613627252492392,0.0,11.613627252492392,11.613627252492392,30.322741703647694,-18.7091144511553,0.38300056657130466,-0.41680058358070043
IWOA_Strict[no_nelder_mead],F12022,2,200,1,284.25089217378627,,284.25089217378627,0.0,284.25089217378627,284.25089217378627,30.322741703647694,253.92815047013858,9.374181759414984,0.9719333699592806
IWOA_Strict[no_qr],F12022,2,200,1,1811.761570720305,,1811.761570720305,0.0,1811.761570720305,1811.761570720305,30.322741703647694,1781.438829016657,59.749266356820165,1.7763325770822542
IWOA_Strict[no_restart],F12022,2,200,1,39.68743568959928,,39.68743568959928,0.0,39.68743568959928,39.68743568959928,30.322741703647694,9.36469398595159,1.3088340123553226,0.11688457238035088
WOA,F12022,2,200,1,8.322129544282348,,8.322129544282348,0.0,8.322129544282348,8.322129544282348,30.322741703647694,-22.000612159365346,0.2744517506238967,-0.5615339946733174
