method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error,mean_error_baseline,delta,ratio,log10_ratio
IWOA_Strict[full],F12022,2,200,1,30.322741703647694,,30.322741703647694,0.0,30.322741703647694,30.322741703647694,8.322129544282348,22.000612159365346,3.643627696769114,0.5615339946733174
IWOA_Strict[no_chaos],F12022,2,200,1,26.375667125388247,,26.375667125388247,0.0,26.375667125388247,26.375667125388247,8.322129544282348,18.0535375811059,3.1693410905276562,0.500968981305317
IWOA_Strict[no_crossover],F12022,2,200,1,219.00255647063815,,219.00255647063815,0.0,219.00255647063815,219.00255647063815,8.322129544282348,210.6804269263558,26.315687025216047,1.4202147126533315
IWOA_Strict[no_init],F12022,2,200,1,310.5418614838944,,310.5418614838944,0.0,310.5418614838944,310.5418614838944,8.322129544282348,302.2197319396121,37.31519196276506,1.5718856801291372
IWOA_Strict[no_levy],F12022,2,200,1,211.9412195909963,,211.9412195909963,0.0,211.9412195909963,211.9412195909963,8.322129544282348,203.61909004671395,25.467185828248585,1.405980957260952
IWOA_Strict[no_lpsr],F12022,2,200,1,11.613627252492392,,11.613627252492392,0.0,11.613627252492392,11.613627252492392,8.322129544282348,3.291497708210045,1.3955114722374686,0.1447334110926171
IWOA_Strict[no_nelder_mead],F12022,2,200,1,284.25089217378627,,284.25089217378627,0.0,284.25089217378627,284.25089217378627,8.322129544282348,275.9287626295039,34.15602829315226,1.533467364632598
IWOA_Strict[no_qr],F12022,2,200,1,1811.761570720305,,1811.761570720305,0.0,1811.761570720305,1811.761570720305,8.322129544282348,1803.4394411760227,217.70408175934497,2.3378665717555718
IWOA_Strict[no_restart],F12022,2,200,1,39.68743568959928,,39.68743568959928,0.0,39.68743568959928,39.68743568959928,8.322129544282348,31.365306145316936,4.768903857891303,0.6784185670536684
WOA,F12022,2,200,1,8.322129544282348,,8.322129544282348,0.0,8.322129544282348,8.322129544282348,8.322129544282348,0.0,1.0,0.0
