method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error
IWOA_Strict[full],F12022,2,200,1,30.322741703647694,,30.322741703647694,0.0,30.322741703647694,30.322741703647694
IWOA_Strict[no_chaos],F12022,2,200,1,26.375667125388247,,26.375667125388247,0.0,26.375667125388247,26.375667125388247
IWOA_Strict[no_crossover],F12022,2,200,1,219.00255647063818,,219.00255647063818,0.0,219.00255647063818,219.00255647063818
IWOA_Strict[no_init],F12022,2,200,1,310.5418614838944,,310.5418614838944,0.0,310.5418614838944,310.5418614838944
IWOA_Strict[no_levy],F12022,2,200,1,211.9412195909963,,211.9412195909963,0.0,211.9412195909963,211.9412195909963
IWOA_Strict[no_lpsr],F12022,2,200,1,11.613627252492392,,11.613627252492392,0.0,11.613627252492392,11.613627252492392
IWOA_Strict[no_nelder_mead],F12022,2,200,1,284.25089217378627,,284.25089217378627,0.0,284.25089217378627,284.25089217378627
IWOA_Strict[no_qr],F12022,2,200,1,1811.761570720305,,1811.761570720305,0.0,1811.761570720305,1811.761570720305
IWOA_Strict[no_restart],F12022,2,200,1,39.68743568959928,,39.68743568959928,0.0,39.68743568959928,39.68743568959928
WOA,F12022,2,200,1,8.322129544282348,,8.322129544282348,0.0,8.322129544282348,8.322129544282348
