function,IWOA_Strict[full],IWOA_Strict[no_chaos],IWOA_Strict[no_crossover],IWOA_Strict[no_init],IWOA_Strict[no_levy],IWOA_Strict[no_lpsr],IWOA_Strict[no_nelder_mead],IWOA_Strict[no_qr],IWOA_Strict[no_restart],WOA
F102022,3.0,7.0,10.0,2.0,8.0,4.0,6.0,5.0,9.0,1.0
F112022,2.0,6.0,7.0,1.0,9.0,5.0,8.0,4.0,3.0,10.0
F12022,3.0,2.0,6.0,4.0,5.0,9.0,7.0,1.0,8.0,10.0
F122022,4.0,2.0,8.0,7.0,6.0,1.0,3.0,5.0,9.0,10.0
F22022,4.0,6.0,3.0,5.0,2.0,8.0,9.0,1.0,7.0,10.0
F32022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
F42022,4.0,3.0,1.0,7.0,8.0,6.0,5.0,9.0,2.0,10.0
F52022,8.0,1.0,7.0,2.0,4.0,5.0,3.0,6.0,9.0,10.0
F62022,3.0,6.0,9.0,7.0,2.0,8.0,5.0,1.0,4.0,10.0
F72022,7.0,9.0,2.0,8.0,5.0,6.0,4.0,3.0,1.0,10.0
F82022,6.0,2.0,9.0,1.0,7.0,3.0,4.0,8.0,5.0,10.0
F92022,6.0,1.0,7.0,2.0,3.0,9.0,4.0,5.0,8.0,10.0
